canonical_name,cas_number,iupac_name,molecular_formula
Sarin,107-44-8,Methylphosphonofluoridic acid 1-methylethyl ester,C4H10FO2P
Soman,96-64-0,Methylphosphonofluoridic acid 1 2 2-trimethylpropyl ester,C7H16FO2P
Tabun,77-81-6,Ethyl N N-dimethylphosphoramidocyanidate,C5H11N2O2P
VX,50782-69-9,O-Ethyl S-2-(diisopropylamino)ethyl methylphosphonothioate,C11H26NO2PS
Sulfur mustard,505-60-2,Bis(2-chloroethyl) sulfide,C4H8Cl2S
Lewisite 1,541-25-3,2-Chlorovinyldichloroarsine,C2H2AsCl3
Lewisite 2,40334-69-8,Bis(2-chlorovinyl)chloroarsine,C4H4AsCl3
Lewisite 3,40334-70-1,Tris(2-chlorovinyl)arsine,C6H6AsCl3
Nitrogen mustard 1,538-07-8,Bis(2-chloroethyl)ethylamine,C6H13Cl2N
Nitrogen mustard 2,51-75-2,Bis(2-chloroethyl)methylamine,C5H11Cl2N
Nitrogen mustard 3,555-77-1,Tris(2-chloroethyl)amine,C6H12Cl3N
Ricin,9009-86-3,Ricin,
Saxitoxin,35523-89-8,Saxitoxin,C10H17N7O4
BZ,6581-06-2,3-Quinuclidinyl benzilate,C21H23NO3
