canonical_name,cas_number,iupac_name,molecular_formula,threshold_kg
Amiton,78-53-5,O O-Diethyl S-[2-(diethylamino)ethyl] phosphorothioate,C10H24NO3PS,1
PFIB,382-21-8,1 1 3 3 3-Pentafluoro-2-(trifluoromethyl)-1-propene,C4F8,1
BZ precursor,76-93-7,Benzilic acid,C14H12O3,1
Methylphosphonyl difluoride,676-99-3,Methylphosphonyl difluoride,CH3F2OP,1
Methylphosphonyl dichloride,676-97-1,Methylphosphonyl dichloride,CH3Cl2OP,1
Dimethyl methylphosphonate,756-79-6,Dimethyl methylphosphonate,C3H9O3P,1
Methylphosphonous dichloride,676-83-5,Methylphosphonous dichloride,CH3Cl2P,1
Diethyl methylphosphonate,683-08-9,Diethyl methylphosphonate,C5H13O3P,1
Diethyl ethylphosphonate,78-38-6,Diethyl ethylphosphonate,C6H15O3P,1
Diethyl methylphosphonite,15715-41-0,Diethyl methylphosphonite,C5H13O2P,1
Diisopropylaminoethyl chloride,96-79-7,2-Diisopropylaminoethyl chloride,C8H18ClN,1
Diisopropylaminoethanol,96-80-0,2-Diisopropylaminoethanol,C8H19NO,1
Diisopropylaminoethanethiol,5842-07-9,2-Diisopropylaminoethanethiol,C8H19NS,1
Pinacolyl alcohol,464-07-3,Pinacolyl alcohol,C6H14O,1
