canonical_name,cas_number,dea_number,molecular_formula,common_names
Cocaine,50-36-2,9041,C17H21NO4,Methyl benzoylecgonine;Coke
Fentanyl,437-38-7,9801,C22H28N2O,Sublimaze;Duragesic
Carfentanil,59708-52-0,9743,C24H30N2O3,
Acetylfentanyl,3258-84-2,9821,C21H26N2O,
Butyrfentanyl,1443-54-5,9822,C23H30N2O,Butyrylfentanyl
Morphine,57-27-2,9300,C17H19NO3,MS Contin
Oxycodone,76-42-6,9143,C18H21NO4,OxyContin;Percocet
Hydrocodone,125-29-1,9193,C18H21NO3,Vicodin;Norco
Methadone,76-99-3,9250,C21H27NO,Dolophine
Hydromorphone,466-99-9,9150,C17H19NO3,Dilaudid
Oxymorphone,76-41-5,9652,C17H19NO4,Opana
Codeine,76-57-3,9050,C18H21NO3,
Methamphetamine,537-46-2,1105,C10H15N,Crystal meth;Desoxyn
Amphetamine,300-62-9,1100,C9H13N,Adderall
Dextroamphetamine,51-64-9,1100,C9H13N,Dexedrine
Methylphenidate,113-45-1,1724,C14H19NO2,Ritalin;Concerta
Pentobarbital,76-74-4,2270,C11H18N2O3,Nembutal
Secobarbital,76-73-3,2315,C12H18N2O3,Seconal
Phenmetrazine,134-49-6,1631,C11H15NO,Preludin
Pethidine,57-42-1,9230,C15H21NO2,Demerol;Meperidine
PCP,77-10-1,7471,C17H25N,Phencyclidine;Angel Dust
Nabilone,51022-71-0,7379,C24H36O3,Cesamet
Sufentanil,56030-54-7,9740,C22H30N2O2S,Sufenta
Alfentanil,71195-58-9,9737,C21H32N6O3S,Alfenta
Tapentadol,175591-23-8,9780,C14H23NO,Nucynta
Levorphanol,77-07-6,9220,C17H23NO,Levo-Dromoran
Dextropropoxyphene,469-62-5,9278,C22H29NO2,Propoxyphene;Darvon
Metopon,143-52-2,9260,C18H21NO3,
Opium raw,8008-60-4,9639,,Crude opium
Opium tincture,8002-76-4,9630,,Laudanum
Ecgonine,481-37-8,9180,C9H15NO3,Cocaine precursor
Cocaine base,50-36-2,9041,C17H21NO4,Crack cocaine
NNDB,73997-32-7,9802,C24H38N2O4,Norfentanyl
Isomethadone,466-40-0,9226,C21H27NO,
Thebaine,115-37-7,9333,C19H21NO3,
Dihydrocodeine,125-28-0,9120,C18H23NO3,
Dihydromorphine,509-60-4,9145,C17H21NO3,
Normorphine,466-97-7,9313,C16H17NO3,
Noroxymorphone,16676-29-2,9668,C16H17NO4,
