canonical_name,scientific_name,pathogen_type,biosafety_level,tier_1
Bacillus anthracis,Bacillus anthracis,bacterium,3,yes
Yersinia pestis,Yersinia pestis,bacterium,3,yes
Francisella tularensis,Francisella tularensis,bacterium,3,yes
Burkholderia mallei,Burkholderia mallei,bacterium,3,yes
Burkholderia pseudomallei,Burkholderia pseudomallei,bacterium,3,yes
Coxiella burnetii,Coxiella burnetii,bacterium,3,no
Rickettsia prowazekii,Rickettsia prowazekii,bacterium,3,no
Brucella abortus,Brucella abortus,bacterium,3,no
Variola major virus,Variola major virus,virus,4,yes
Ebola virus,Ebola virus,virus,4,yes
Marburg virus,Marburg virus,virus,4,yes
Lassa fever virus,Lassa mammarenavirus,virus,4,no
Crimean-Congo hemorrhagic fever virus,Orthonairovirus haemorrhagiae,virus,4,no
Botulinum neurotoxin,Clostridium botulinum,toxin,2,yes
Ricin toxin,Ricinus communis,toxin,2,yes
Saxitoxin,Alexandrium minutum,toxin,2,yes
T-2 toxin,Fusarium sporotrichioides,toxin,2,no
Staphylococcal enterotoxin B,Staphylococcus aureus,toxin,2,no
Shiga toxin,Shigella dysenteriae,toxin,2,no
Abrin toxin,Abrus precatorius,toxin,2,no
Aeromonas salmonicida,Aeromonas salmonicida,bacterium,2,no
Mycoplasma capricolum,Mycoplasma capricolum,bacterium,2,no
Mycoplasma mycoides,Mycoplasma mycoides,bacterium,2,no
Xylella fastidiosa,Xylella fastidiosa,bacterium,2,no
Ralstonia solanacearum,Ralstonia solanacearum,bacterium,2,no
Brucella melitensis,Brucella melitensis,bacterium,3,no
Brucella suis,Brucella suis,bacterium,3,no
Clostridium perfringens epsilon toxin,Clostridium perfringens,toxin,2,no
Salmonella typhimurium DT104,Salmonella enterica,bacterium,2,no
Shigella flexneri,Shigella flexneri,bacterium,2,no
Vibrio cholerae O1,Vibrio cholerae,bacterium,2,no
Hantavirus,Sin Nombre virus,virus,3,no
Rift Valley fever virus,Phlebovirus,virus,3,no
Venezuelan equine encephalitis virus,Alphavirus,virus,3,no
Eastern equine encephalitis virus,Alphavirus,virus,3,no
Yellow fever virus,Flavivirus,virus,2,no
Kyasanur Forest disease virus,Flavivirus,virus,3,no
Omsk hemorrhagic fever virus,Flavivirus,virus,3,no
Powassan virus,Flavivirus,virus,3,no
Chapare virus,Arenavirus,virus,4,no
Guanarito virus,Arenavirus,virus,4,no
Junin virus,Arenavirus,virus,4,no
Lujo virus,Arenavirus,virus,4,no
Machupo virus,Arenavirus,virus,4,no
Sabia virus,Arenavirus,virus,4,no
Monkeypox virus,Orthopoxvirus,virus,3,no
Cowpox virus,Orthopoxvirus,virus,2,no
Camelpox virus,Orthopoxvirus,virus,2,no
Conotoxins,Conus species,toxin,2,no
Diacetoxyscirpenol,Fusarium species,toxin,2,no
Aflatoxins,Aspergillus flavus,toxin,2,no
Modeccin,Modecca digitata,toxin,2,no
Volkensin,Adenia volkensii,toxin,2,no
Viscumin,Viscum album,toxin,2,no
